시트명,순번,제품명,이미지_개수,이미지_파일목록,HTML_파일경로
☆파일명 리스트(별색),45,맥세이프 투명포켓,13,"00_A.jpg, 01_F.jpg, 02_E.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 20_A.jpg, 22_A.jpg, 26_A.jpg, 27_A.jpg, 28_A.jpg, 33_E.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(별색)\45_맥세이프 투명포켓.txt
☆파일명 리스트(별색),46,수정테이프,13,"00_A.jpg, 01_F.jpg, 02_E.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 20_A.jpg, 22_A.jpg, 26_A.jpg, 27_A.jpg, 28_A.jpg, 33_E.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(별색)\46_수정테이프.txt
☆파일명 리스트(별색),47,틴케이스,13,"00_A.jpg, 01_F.jpg, 02_E.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 20_A.jpg, 22_A.jpg, 26_A.jpg, 27_A.jpg, 28_A.jpg, 33_E.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(별색)\47_틴케이스.txt
☆파일명 리스트(별색),48,틴케이스 창문형,13,"00_A.jpg, 01_F.jpg, 02_E.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 20_A.jpg, 22_A.jpg, 26_A.jpg, 27_A.jpg, 28_A.jpg, 33_E.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(별색)\48_틴케이스 창문형.txt
☆파일명 리스트(별색),49,손거울,13,"00_A.jpg, 01_F.jpg, 02_E.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 20_A.jpg, 22_A.jpg, 26_A.jpg, 27_A.jpg, 28_A.jpg, 33_E.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(별색)\49_손거울.txt
☆파일명 리스트(별색),50,글라스 범퍼케이스 무광/유광/홀로그램,9,"00_A.jpg, 01_D.jpg, 02_K.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 20_A.jpg, 33_F.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(별색)\50_글라스 범퍼케이스 무광_유광_홀로그램.txt
☆파일명 리스트(별색),51,에폭시 범퍼케이스,9,"00_A.jpg, 01_D.jpg, 02_K.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 20_A.jpg, 33_F.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(별색)\51_에폭시 범퍼케이스.txt
☆파일명 리스트(별색),52,에폭시 스마트톡,9,"00_A.jpg, 01_A.jpg, 02_E.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 20_A.jpg, 33_E.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(별색)\52_에폭시 스마트톡.txt
☆파일명 리스트(별색),53,에폭시 범퍼케이스,10,"00_A.jpg, 01_F.jpg, 02_E.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 20_B.jpg, 21_B.jpg, 33_E.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(별색)\53_에폭시 범퍼케이스.txt
☆파일명 리스트(별색),54,보이스 키링,9,"00_A.jpg, 01_F.jpg, 02_E.jpg, 03_A.jpg, 04_A.jpg, 05_A.jpg, 20_A.jpg, 33_E.jpg, 34_A.jpg",C:\Users\custo\OneDrive\바탕 화면\HUSKFACTORY_v2\output\파일명 리스트(별색)\54_보이스 키링.txt
